Pos.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Grid,44,77,5,33,16,8,20,4,7,11,27,3,23,99,26,18,10,55,63,88
Lap 1,77,44,5,33,16,20,8,27,7,4,23,11,18,55,26,99,10,63,88,3
Lap 2,77,44,5,33,16,20,8,27,7,4,23,11,18,55,26,10,99,63,88,3
Lap 3,77,44,5,33,16,20,8,27,7,4,23,11,18,55,26,10,99,63,88,3
Lap 4,77,44,5,33,16,20,8,27,7,4,23,11,18,55,26,10,99,63,3,88
Lap 5,77,44,5,33,16,20,8,27,7,4,23,11,18,55,26,10,99,63,3,88
Lap 6,77,44,5,33,16,20,8,27,7,4,23,11,18,55,26,10,99,63,3,88
Lap 7,77,44,5,33,16,20,8,27,7,4,23,11,18,55,26,10,99,63,3,88
Lap 8,77,44,5,33,16,20,8,27,7,4,23,11,18,55,26,10,99,63,3,88
Lap 9,77,44,5,33,16,20,8,27,7,4,23,11,18,55,26,10,99,63,3,88
Lap 10,77,44,5,33,16,20,8,27,7,4,23,11,18,26,10,99,63,3,88,
Lap 11,77,44,5,33,16,20,8,27,7,4,23,11,18,26,10,99,63,3,88,
Lap 12,77,44,5,33,16,20,8,27,4,23,11,18,26,10,99,7,63,3,88,
Lap 13,77,44,5,33,16,20,8,4,23,18,26,10,99,27,7,11,63,3,88,
Lap 14,77,44,33,16,5,8,4,18,26,10,20,99,27,7,23,63,11,3,88,
Lap 15,77,33,16,44,5,18,26,10,99,20,27,7,4,8,23,11,63,3,88,
Lap 16,77,33,16,44,5,18,26,10,99,20,27,7,4,8,23,11,63,3,88,
Lap 17,77,33,16,44,5,18,26,10,99,20,27,7,4,8,23,11,63,3,88,
Lap 18,77,33,16,44,5,18,26,10,20,99,27,7,4,8,23,11,63,3,88,
Lap 19,77,33,16,44,5,18,26,10,20,27,7,99,4,8,23,11,63,3,88,
Lap 20,77,33,16,44,5,18,26,10,20,27,7,99,4,8,23,11,63,3,88,
Lap 21,77,33,16,44,5,18,26,10,20,27,7,99,4,8,23,11,63,3,88,
Lap 22,77,33,16,44,5,18,26,10,20,27,7,99,4,8,23,11,63,3,88,
Lap 23,33,77,16,44,5,18,26,10,20,27,7,99,4,8,23,11,63,3,88,
Lap 24,33,77,16,44,5,18,26,10,20,27,7,99,4,8,23,11,63,3,88,
Lap 25,77,16,44,33,5,18,26,10,20,27,7,99,4,8,23,11,63,3,88,
Lap 26,77,16,44,5,33,18,10,20,27,7,26,4,8,99,11,23,3,63,88,
Lap 27,77,16,44,5,33,10,20,27,7,18,26,4,8,11,23,3,99,63,88,
Lap 28,77,44,5,33,16,10,20,27,7,18,26,4,8,11,23,3,99,63,88,
Lap 29,77,44,5,33,16,10,20,27,7,18,26,4,8,11,23,99,63,88,,
Lap 30,77,44,5,33,16,10,20,27,7,18,26,4,11,23,99,63,88,,,
Lap 31,77,44,33,5,16,10,20,27,7,18,26,4,11,23,99,63,88,,,
Lap 32,77,44,33,5,16,10,20,27,7,18,26,4,11,23,99,63,88,,,
Lap 33,77,44,33,5,16,10,20,27,7,18,26,4,11,23,99,63,88,,,
Lap 34,77,44,33,5,16,10,20,27,7,18,26,4,11,23,99,63,88,,,
Lap 35,77,44,33,5,16,10,20,27,7,18,26,4,11,23,99,63,88,,,
Lap 36,77,44,33,5,16,10,20,27,7,18,26,4,11,23,99,63,88,,,
Lap 37,77,44,33,5,16,20,27,7,18,10,26,4,11,23,99,63,88,,,
Lap 38,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 39,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 40,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 41,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 42,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 43,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 44,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 45,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 46,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 47,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 48,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 49,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 50,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 51,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 52,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 53,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 54,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 55,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 56,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 57,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
Lap 58,77,44,33,5,16,20,27,7,18,26,10,4,11,23,99,63,88,,,
